"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 31 00:23:48 MSK 2023","Thu Aug 31 00:23:49 MSK 2023","929","tests","Elements","Web Tables","","","test_web_table_add_person[input_data105]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:30:38 MSK 2023","Thu Aug 31 00:30:40 MSK 2023","1352","tests","Elements","Web Tables","","","test_web_table_add_person[input_data350]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:29:29 MSK 2023","Thu Aug 31 00:29:30 MSK 2023","1329","tests","Elements","Web Tables","","","test_web_table_add_person[input_data311]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:29:22 MSK 2023","Thu Aug 31 00:29:23 MSK 2023","1332","tests","Elements","Web Tables","","","test_web_table_add_person[input_data307]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:23:34 MSK 2023","Thu Aug 31 00:23:35 MSK 2023","984","tests","Elements","Web Tables","","","test_web_table_add_person[input_data96]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:38 MSK 2023","Thu Aug 31 00:21:39 MSK 2023","1463","tests","Elements","Web Tables","","","test_web_table_add_person[input_data16]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:30:08 MSK 2023","Thu Aug 31 00:30:09 MSK 2023","1384","tests","Elements","Web Tables","","","test_web_table_add_person[input_data333]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:26:26 MSK 2023","Thu Aug 31 00:26:27 MSK 2023","1309","tests","Elements","Web Tables","","","test_web_table_add_person[input_data205]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:24:49 MSK 2023","Thu Aug 31 00:24:50 MSK 2023","1008","tests","Elements","Web Tables","","","test_web_table_add_person[input_data149]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:24:01 MSK 2023","Thu Aug 31 00:24:02 MSK 2023","892","tests","Elements","Web Tables","","","test_web_table_add_person[input_data115]"," Check if one new person could be added in the list "
